"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US",2018-07-01,"0,25",,62,50
"USW00025333","SITKA AIRPORT, AK US",2018-07-02,"0,01",,58,53
"USW00025333","SITKA AIRPORT, AK US",2018-07-03,0,,70,54
"USW00025333","SITKA AIRPORT, AK US",2018-07-04,0,,70,55
"USW00025333","SITKA AIRPORT, AK US",2018-07-05,0,,67,55
"USW00025333","SITKA AIRPORT, AK US",2018-07-06,0,,59,55
"USW00025333","SITKA AIRPORT, AK US",2018-07-07,0,,58,55
"USW00025333","SITKA AIRPORT, AK US",2018-07-08,0,,62,54
"USW00025333","SITKA AIRPORT, AK US",2018-07-09,0,,66,55
"USW00025333","SITKA AIRPORT, AK US",2018-07-10,"0,44",,59,53
"USW00025333","SITKA AIRPORT, AK US",2018-07-11,"0,29",,56,50
"USW00025333","SITKA AIRPORT, AK US",2018-07-12,"0,02",,63,49
"USW00025333","SITKA AIRPORT, AK US",2018-07-13,0,,65,48
"USW00025333","SITKA AIRPORT, AK US",2018-07-14,"0,32",,58,52
"USW00025333","SITKA AIRPORT, AK US",2018-07-15,"0,75",,56,52
"USW00025333","SITKA AIRPORT, AK US",2018-07-16,"0,61",,59,52
"USW00025333","SITKA AIRPORT, AK US",2018-07-17,0,,64,52
"USW00025333","SITKA AIRPORT, AK US",2018-07-18,"0,16",,60,53
"USW00025333","SITKA AIRPORT, AK US",2018-07-19,"0,14",,60,53
"USW00025333","SITKA AIRPORT, AK US",2018-07-20,0,,61,56
"USW00025333","SITKA AIRPORT, AK US",2018-07-21,0,,65,55
"USW00025333","SITKA AIRPORT, AK US",2018-07-22,0,,65,54
"USW00025333","SITKA AIRPORT, AK US",2018-07-23,0,,63,54
"USW00025333","SITKA AIRPORT, AK US",2018-07-24,0,,59,52
"USW00025333","SITKA AIRPORT, AK US",2018-07-25,0,,64,52
"USW00025333","SITKA AIRPORT, AK US",2018-07-26,0,,65,58
"USW00025333","SITKA AIRPORT, AK US",2018-07-27,0,,68,58
"USW00025333","SITKA AIRPORT, AK US",2018-07-28,0,,66,56
"USW00025333","SITKA AIRPORT, AK US",2018-07-29,0,,64,56
"USW00025333","SITKA AIRPORT, AK US",2018-07-30,0,,67,58
"USW00025333","SITKA AIRPORT, AK US",2018-07-31,0,,65,56
