"STATION","NAME","DATE","AWND","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08"
"USW00025333","SITKA AIRPORT, AK US",2018-01-01,"13,87",23,"0,45",,,48,38,110,110,"31,1",38,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-02,"13,65",805,"0,56",,,48,43,100,100,"21,9","27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-03,"10,51",538,"0,4",,,46,41,110,110,23,28,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-04,"4,25",1614,"0,99",,,42,40,330,330,"12,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-05,"8,5",2003,"0,25",,,46,38,230,230,28,34,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-06,"12,08",813,"0,46",,,44,37,110,110,"29,1","36,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-07,"2,46",25,"0,01",,,39,30,110,110,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-08,"3,13",2051,0,,,36,28,350,340,"8,1","8,9",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-09,"5,37",2348,"0,13",0,,34,25,110,100,"18,1","21,9",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-10,"6,71",20,0,,,28,24,330,110,15,19,1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-11,"7,16",855,0,,,34,23,340,350,13,17,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-12,"18,57",228,"0,18",,,41,33,110,110,28,"35,1",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-13,"20,58",1239,"0,05",,,53,41,110,110,"31,1","42,1",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-14,"23,94",1748,"0,07",,,63,52,100,110,"35,1","46,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-15,17,2325,"0,01",,,60,52,110,140,30,40,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-16,"12,75",241,"0,4",,,54,41,190,200,28,36,1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-17,"2,91",1008,"0,01",,,47,36,310,310,"12,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-18,"2,46",1529,0,,,46,35,340,340,"8,9","10,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-19,"3,13",2257,0,,,42,37,340,340,"8,1","8,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-20,"9,62",1927,0,,,45,39,100,110,21,"27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-21,"5,37",1954,0,,,43,36,120,110,17,"19,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-22,"10,96",923,"0,42",,,41,33,160,160,"25,9","31,1",1,,1,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-23,"5,14",221,0,,,41,33,110,120,17,21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-24,"6,93",612,"0,04",,,40,34,110,110,"18,1",23,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-25,"11,41",2253,0,,,40,31,110,110,"25,9",34,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-26,"10,29",616,"0,16",,,41,31,110,100,"23,9",30,1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-27,"4,03",2235,0,,,39,29,110,110,17,"21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-28,"14,76",1146,0,,,40,34,100,90,"31,1","42,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-29,"12,75",438,0,,,40,36,110,110,"23,9",32,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-30,"6,04",41,0,,,39,31,100,140,15,"19,9",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-01-31,"8,5",1354,0,,,36,29,110,110,"21,9","25,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-01,"11,41",2302,0,,,35,31,110,110,"25,1","35,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-02,"9,62",1347,0,,,35,26,110,110,17,21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-03,"6,71",1419,0,,,34,24,90,110,23,"29,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-04,"5,59",238,0,,,42,28,300,290,"14,1","16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-05,"2,46",1449,0,,,41,28,190,180,"8,9","10,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-06,"4,03",311,"0,1",,,39,33,330,140,13,"18,1",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-07,"3,36",1419,0,,,42,31,320,320,13,"14,1",,1,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-08,"4,03",1838,0,,,39,28,110,110,"12,1",15,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-09,"3,36",525,0,0,,37,25,340,330,"8,9",11,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-10,"3,13",2015,0,0,,37,24,100,100,"10,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-11,"4,25",1302,0,,,40,32,300,300,13,"14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-12,"7,16",1226,"1,24",,,43,35,230,180,17,"21,9",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-13,"4,92",426,"0,37",0,,41,31,270,250,"23,9","29,1",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-14,"4,47",2333,0,,,40,29,100,110,"14,1","19,9",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-15,"4,92",1519,"0,43",,,38,33,110,270,13,17,1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-16,"3,36",2338,0,,,36,28,40,350,13,"19,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-17,"13,42",814,0,0,,37,30,350,40,"25,9","42,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-18,"3,58",10,0,0,,39,25,350,350,15,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-19,"4,7",1412,"0,03",,,39,29,340,330,13,15,1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-20,"2,24",334,"0,03",0,,38,28,320,80,"8,1","8,9",1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-21,"3,8",1505,0,,,41,29,320,310,"12,1",15,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-22,"8,72",2351,"0,46",,,42,34,250,250,"25,1",32,1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-23,"13,2",822,"0,24",0,,41,30,280,280,30,38,1,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-24,"10,07",1758,"0,58",0,,39,30,230,230,"25,1","31,1",1,,1,,1
"USW00025333","SITKA AIRPORT, AK US",2018-02-25,"9,4",229,"0,02",0,,38,32,330,320,"21,9","25,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-26,"12,53",1447,"0,45",,,42,33,290,290,40,"46,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-27,"11,18",543,"0,32",,,39,32,290,280,28,32,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-02-28,"5,82",1942,"0,6",,,40,30,340,340,21,"27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-01,"7,61",2311,0,,,35,27,30,30,17,"25,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-02,"5,14",728,0,,,40,26,350,340,"21,9","25,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-03,"3,36",1809,0,,,41,25,90,90,"8,1","8,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-04,"2,46",317,0,0,,40,27,80,90,"6,9","8,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-05,"3,58",1923,0,,,39,25,100,110,"8,9",11,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-06,"4,92",2351,0,,,39,31,100,100,"8,9",11,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-07,"8,95",1150,"0,31",,,40,32,110,180,"14,1",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-08,"6,49",2348,"0,24",,,39,33,110,100,23,30,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-09,"12,75",231,"0,42",,,42,33,100,110,"25,9","35,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-10,"9,17",701,"0,48",,,43,34,110,100,"18,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-11,"12,08",845,"0,51",,,44,34,110,110,28,36,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-12,"10,74",1746,"0,01",0,,54,36,130,110,23,"35,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-13,"10,07",2243,0,0,,58,39,110,100,23,30,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-14,"9,17",427,0,0,,54,42,230,110,"18,1",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-15,"4,25",1338,0,,,45,36,260,260,13,"14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-16,"6,71",1707,0,,,45,36,300,300,"19,9",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-17,"2,91",319,0,,,45,34,220,350,"8,9",11,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-18,"3,36",1301,"0,02",,,43,33,260,270,"8,1","8,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-19,"6,04",2054,"0,9",,,41,36,100,90,"12,1","14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-20,"13,65",1539,"0,17",,,41,33,250,230,"25,1","33,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-21,"4,92",1351,0,,,42,30,100,120,"14,1","18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-22,"6,26",1458,0,,,46,34,20,20,"19,9","27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-23,"6,71",645,0,,,42,31,110,100,"14,1",17,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-24,"4,03",1400,"0,01",,,42,28,200,200,"16,1",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-25,"5,82",824,0,,,41,32,110,110,15,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-26,"7,38",1215,"0,49",,,42,31,240,110,"16,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-27,"10,74",1737,"0,22",,,43,38,230,280,21,36,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-28,"4,25",1356,"0,07",,,43,36,230,230,13,"16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-29,"7,83",1637,0,,,46,33,330,340,23,"27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-30,"5,82",1548,"0,05",,,45,28,190,220,15,"21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-03-31,"4,7",2044,0,,,43,33,10,350,15,19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-01,"7,16",130,0,,,45,31,330,320,"19,9","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-02,"4,25",1038,0,,,41,30,90,90,13,17,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-03,"5,14",1707,0,,,43,28,290,320,"14,1","16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-04,"7,61",1814,0,,,45,31,80,70,15,19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-05,"14,32",1935,0,,,52,38,110,110,28,"36,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-06,"13,42",814,0,,,51,45,110,130,"21,9","29,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-07,"4,25",1513,0,,,59,38,110,110,"14,1",17,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-08,"4,92",1854,"0,02",,,52,40,200,190,"16,1","19,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-09,"9,62",2000,"0,01",,,54,43,100,110,"25,1",34,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-10,"14,54",1959,0,,,57,45,130,130,"29,1","36,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-11,"10,74",1806,0,,,58,43,210,210,"29,1",34,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-12,"11,63",1004,"0,01",,,51,43,110,100,"21,9","27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-13,"10,74",824,"0,01",,,51,40,120,120,"19,9","25,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-14,"5,37",211,"0,05",0,,48,37,140,150,"14,1",17,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-15,"8,28",1737,0,0,,50,34,300,290,"18,1",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-16,"4,47",1319,0,,,49,35,230,220,"12,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-17,"6,93",1327,0,,,46,34,220,220,"19,9",23,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-18,"11,86",1642,"0,95",,,46,41,190,200,"25,1","33,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-19,"13,87",814,"0,85",,,45,40,110,110,"25,9","35,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-20,"5,82",153,"0,06",,,45,34,150,150,15,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-21,"7,16",1419,"0,22",,,47,32,190,200,23,"29,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-22,"13,42",1016,"0,13",,,47,41,150,140,"19,9","25,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-23,"14,32",721,"0,49",,,45,43,110,110,"23,9",32,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-24,"6,49",39,"0,23",,,46,41,190,190,15,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-25,"5,82",1646,"0,11",,,45,41,210,280,13,"21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-26,"4,92",2333,"0,04",,,45,41,330,330,"18,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-27,"12,97",1941,"0,01",,,46,40,330,330,21,"25,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-28,"6,26",300,"0,02",,,47,38,280,280,21,"27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-29,"5,59",1210,"0,01",0,,46,38,120,250,"12,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-04-30,"5,59",423,"0,08",,,44,39,110,110,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-01,"8,5",657,"0,88",,,44,42,190,200,17,"21,9",,,,,
